contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker,midPrice,ask_bid_spread,expiration,days_to_exp,T,spot,moneyness,log_moneyness,bs_price
AMZN260320C00230000,2025-06-23 16:55:13+00:00,230.0,16.6,16.4,16.55,-1.4499989,-8.033235,35.0,1387.0,0.3451908743286133,False,REGULAR,USD,call,2026-03-20,AMZN,16.475,0.15000000000000213,2026-03-20,268,0.7342465753424657,208.47000122070312,0.906391309655231,-0.09828415707331598,18.81975332118651
AMZN260320C00235000,2025-06-23 19:25:36+00:00,235.0,14.71,14.55,14.7,-0.72999954,-4.7279763,31.0,1289.0,0.3403691452026367,False,REGULAR,USD,call,2026-03-20,AMZN,14.625,0.14999999999999858,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8871063881732048,-0.11979036229427958,16.827312686335176
AMZN260320C00240000,2025-06-23 19:51:22+00:00,240.0,12.95,12.8,13.05,-1.0500002,-7.500001,40.0,3901.0,0.3364934515380859,False,REGULAR,USD,call,2026-03-20,AMZN,12.925,0.25,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8686250050862631,-0.14084377149211186,15.035996906619886
AMZN260320C00245000,2025-06-23 18:48:38+00:00,245.0,11.5,11.35,11.5,-0.8999996,-7.258062,3.0,726.0,0.3321294815063477,False,REGULAR,USD,call,2026-03-20,AMZN,11.425,0.15000000000000036,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8508979641661352,-0.16146305869484762,13.342779959066789
AMZN260320C00250000,2025-06-23 19:52:39+00:00,250.0,10.1,9.95,10.15,-0.79999924,-7.3394427,120.0,6265.0,0.3288946505737303,False,REGULAR,USD,call,2026-03-20,AMZN,10.05,0.20000000000000107,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8338800048828126,-0.18166576601236695,11.853950276215123
AMZN260320C00255000,2025-06-23 14:00:06+00:00,255.0,9.3,8.75,8.9,-0.34000015,-3.5269723,22.0,789.0,0.3253241296386718,False,REGULAR,USD,call,2026-03-20,AMZN,8.825,0.15000000000000036,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8175294165517769,-0.20146839330854677,10.465417438909327
AMZN260320C00260000,2025-06-23 17:33:11+00:00,260.0,8.16,7.65,7.8,-0.31000042,-3.6599813,184.0,1534.0,0.3223944714355468,False,REGULAR,USD,call,2026-03-20,AMZN,7.725,0.14999999999999947,2026-03-20,268,0.7342465753424657,208.47000122070312,0.8018076970027044,-0.22088647916564824,9.234841815022456
AMZN260320P00175000,2025-06-23 16:40:54+00:00,175.0,8.75,8.35,8.5,0.14999962,1.7441815,48.0,6094.0,0.3229132650756835,False,REGULAR,USD,put,2026-03-20,AMZN,8.425,0.15000000000000036,2026-03-20,268,0.7342465753424657,208.47000122070312,1.1912571498325892,0.17500917792636533,6.8159629074523735
AMZN260320P00180000,2025-06-23 19:43:08+00:00,180.0,9.8,9.6,9.8,-0.21000004,-2.0979025,64.0,5680.0,0.3167792932128905,False,REGULAR,USD,put,2026-03-20,AMZN,9.7,0.20000000000000107,2026-03-20,268,0.7342465753424657,208.47000122070312,1.1581666734483507,0.14683830095966902,7.893258436493504
AMZN260320P00185000,2025-06-23 18:40:11+00:00,185.0,10.87,11.0,11.2,-0.1800003,-1.628962,30.0,1601.0,0.3099434240722656,False,REGULAR,USD,put,2026-03-20,AMZN,11.1,0.1999999999999993,2026-03-20,268,0.7342465753424657,208.47000122070312,1.12686487146326,0.11943932677155457,9.054714935319318
