contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,ticker
AMZN250627P00245000,2025-06-20 14:24:55+00:00,245.0,34.48,36.1,37.25,0.0,0.0,20.0,0,0.6835969140625001,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00255000,2025-06-23 19:12:25+00:00,255.0,45.75,46.35,46.8,-0.75,-1.6139444,50.0,10,0.70312796875,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250627P00260000,2025-06-05 19:53:10+00:00,260.0,51.6,51.05,52.05,0.0,0.0,,0,0.6992217578125001,True,REGULAR,USD,put,2025-06-27,AMZN
AMZN250703C00110000,2025-06-10 17:06:44+00:00,110.0,107.3,97.8,99.35,0.0,0.0,4.0,32,1.5273461132812498,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00120000,2025-06-13 19:46:04+00:00,120.0,91.93,87.5,89.8,0.0,0.0,,4,1.431643466796875,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00125000,2025-06-17 17:46:40+00:00,125.0,91.26,82.55,84.5,0.0,0.0,2.0,9,1.15234798828125,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00135000,2025-06-20 13:57:41+00:00,135.0,77.41,72.75,74.85,0.0,0.0,1.0,2,1.2646521142578124,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00140000,2025-06-16 15:04:12+00:00,140.0,74.97,68.25,69.1,0.0,0.0,50.0,3201,1.0888717431640624,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00145000,2025-06-18 19:54:30+00:00,145.0,68.7,62.55,64.7,0.0,0.0,1.0,2,0.9648441015625,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00150000,2025-06-20 18:23:23+00:00,150.0,58.8,58.25,59.05,-1.6599998,-2.7456167,1.0,6716,0.903321279296875,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00155000,2025-06-18 19:40:05+00:00,155.0,60.47,52.6,54.85,0.0,0.0,5.0,7,0.870118486328125,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00160000,2025-06-20 19:05:45+00:00,160.0,48.85,47.75,49.65,0.0,0.0,8.0,15,0.7763694238281251,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00165000,2025-06-20 16:20:02+00:00,165.0,45.5,42.75,44.6,0.0,0.0,1.0,5,0.68555001953125,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00170000,2025-06-20 17:37:31+00:00,170.0,38.38,38.25,39.45,-1.1199989,-2.8354404,1.0,102,0.6801789794921876,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00175000,2025-06-20 15:20:32+00:00,175.0,35.6,33.05,34.05,0.0,0.0,7.0,883,0.6547886083984377,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00180000,2025-06-23 16:53:11+00:00,180.0,28.65,28.35,29.35,-2.3500004,-7.580646,5.0,547,0.5195360546875,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00185000,2025-06-23 16:34:55+00:00,185.0,23.62,23.1,24.55,-1.0799999,-4.3724694,25.0,92,0.5708050732421875,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00187500,2025-06-23 17:22:32+00:00,187.5,21.9,21.15,21.95,0.10000038,0.45871738,3.0,424,0.508793974609375,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00190000,2025-06-23 17:12:09+00:00,190.0,19.3,18.45,19.25,-0.95000076,-4.691362,17.0,215,0.432622861328125,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00192500,2025-06-23 16:32:48+00:00,192.5,16.08,16.2,16.9,-1.5699997,-8.895183,7.0,360,0.40845318115234375,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00195000,2025-06-23 18:22:40+00:00,195.0,14.58,14.1,14.75,-1.7199993,-10.552144,67.0,194,0.4030821411132813,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00197500,2025-06-23 19:51:11+00:00,197.5,11.95,11.8,12.2,-2.1000004,-14.946621,21.0,243,0.34668622070312494,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00200000,2025-06-23 19:37:21+00:00,200.0,9.9,9.7,9.9,-1.6500006,-13.865551,272.0,1399,0.31372756591796874,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00202500,2025-06-23 19:53:58+00:00,202.5,7.95,7.7,7.85,-1.3500004,-14.516132,222.0,342,0.29566134033203123,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00205000,2025-06-23 19:58:37+00:00,205.0,6.0,5.9,6.0,-1.5500002,-20.584332,711.0,2308,0.2815013256835937,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00207500,2025-06-23 19:59:39+00:00,207.5,4.4,4.3,4.45,-1.4000001,-24.221455,1181.0,932,0.2739330419921875,True,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00210000,2025-06-23 19:59:55+00:00,210.0,3.02,3.0,3.1,-1.4299998,-32.13483,4115.0,2748,0.2633130310058594,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00212500,2025-06-23 19:58:54+00:00,212.5,2.0,1.99,2.03,-1.0999999,-35.25641,2837.0,1309,0.25391371093750004,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00215000,2025-06-23 19:59:56+00:00,215.0,1.24,1.23,1.26,-0.9000001,-42.45283,3361.0,4462,0.2474440490722656,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00217500,2025-06-23 19:59:14+00:00,217.5,0.73,0.73,0.75,-0.66999996,-47.183094,2635.0,1884,0.24390404541015626,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00220000,2025-06-23 19:59:21+00:00,220.0,0.43,0.42,0.44,-0.42000002,-48.837208,3816.0,7421,0.24414818359375,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00222500,2025-06-23 19:54:36+00:00,222.5,0.26,0.24,0.26,-0.29000002,-51.785713,1031.0,6227,0.247077841796875,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00225000,2025-06-23 19:59:20+00:00,225.0,0.15,0.15,0.16,-0.18,-54.545452,8177.0,8100,0.2534254345703125,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00227500,2025-06-23 19:45:32+00:00,227.5,0.11,0.1,0.11,-0.11,-50.0,459.0,827,0.264655791015625,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00230000,2025-06-23 19:59:36+00:00,230.0,0.07,0.06,0.07,-0.07,-50.0,655.0,3217,0.27149166015625,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00232500,2025-06-23 19:35:00+00:00,232.5,0.05,0.05,0.06,-0.040000003,-44.444447,97.0,310,0.2910227148437499,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00235000,2025-06-23 19:23:07+00:00,235.0,0.04,0.03,0.04,-0.030000001,-37.5,179.0,3371,0.29883513671874995,False,REGULAR,USD,call,2025-07-03,AMZN
AMZN250703C00237500,2025-06-23 16:25:14+00:00,237.5,0.04,0.02,0.04,-0.050000004,-55.555557,22.0,32,0.32031929687499994,False,REGULAR,USD,call,2025-07-03,AMZN
